"fieldid.x","labid","rep.x","defecator","speciessimpleid.x","final_scientific","species","genus","family","order","class","phylum","final_common","genus_group","family_group","order_group","class_group","best_match_pid.mean","total_reads","rep_reads","spec_reads","p_reads","replicates"
"DESC_0231_11","DESC99","repc","Vulpes vulpes","Thomomys talpoides","Thomomys talpoides","talpoides","Thomomys","Geomyidae","Rodentia","Mammalia","Chordata","Northern pocket gopher","Pocket gopher","Pocket gophers","Rodents","Mammals",99.01,7538,1517,4126,0.547360042451579,1
"DESC_0231_13","DESC101","repa","Vulpes vulpes","Chordeiles minor","Chordeiles minor","minor","Chordeiles","Caprimulgidae","Caprimulgiformes","Aves","Chordata","Common nighthawk","Nighthawk","Nighthawks","Nighthawks","Birds",100,52024,14200,52024,1,1
"DESC_0231_13","DESC101","repb","Vulpes vulpes","Chordeiles minor","Chordeiles minor","minor","Chordeiles","Caprimulgidae","Caprimulgiformes","Aves","Chordata","Common nighthawk","Nighthawk","Nighthawks","Nighthawks","Birds",100,52024,34212,52024,1,1
"DESC_0231_13","DESC101","repc","Vulpes vulpes","Chordeiles minor","Chordeiles minor","minor","Chordeiles","Caprimulgidae","Caprimulgiformes","Aves","Chordata","Common nighthawk","Nighthawk","Nighthawks","Nighthawks","Birds",100,52024,3612,52024,1,1
"DESC_0231_14a","DESC102a","repa","Vulpes vulpes","Marmota flaviventris","Marmota flaviventris","flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata","Yellow-bellied marmot","Marmot","Squirrels","Rodents","Mammals",99.495,74336,21994,62864,0.845673697804563,1
"DESC_0231_14a","DESC102a","repa","Vulpes vulpes","Myodes californicus","Myodes californicus","californicus","Myodes","Cricetidae","Rodentia","Mammalia","Chordata","Western red-backed vole","Vole","Cricetids","Rodents","Mammals",100,74336,21994,7076,0.0951894102453724,1
"DESC_0231_14a","DESC102a","repa","Vulpes vulpes","Vireo sp.","Vireo sp.","sp.","Vireo","Vireonidae","Passeriformes","Aves","Chordata","Vireo sp.","","Vireos","Passerines","Birds",99.048,74336,21994,4396,0.0591368919500646,1
"DESC_0231_14a","DESC102a","repb","Vulpes vulpes","Marmota flaviventris","Marmota flaviventris","flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata","Yellow-bellied marmot","Marmot","Squirrels","Rodents","Mammals",99.495,74336,35042,62864,0.845673697804563,1
"DESC_0231_14a","DESC102a","repb","Vulpes vulpes","Myodes californicus","Myodes californicus","californicus","Myodes","Cricetidae","Rodentia","Mammalia","Chordata","Western red-backed vole","Vole","Cricetids","Rodents","Mammals",100,74336,35042,7076,0.0951894102453724,1
"DESC_0231_14a","DESC102a","repb","Vulpes vulpes","Vireo sp.","Vireo sp.","sp.","Vireo","Vireonidae","Passeriformes","Aves","Chordata","Vireo sp.","","Vireos","Passerines","Birds",99.048,74336,35042,4396,0.0591368919500646,1
"DESC_0231_14a","DESC102a","repc","Vulpes vulpes","Marmota flaviventris","Marmota flaviventris","flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata","Yellow-bellied marmot","Marmot","Squirrels","Rodents","Mammals",99.495,74336,17300,62864,0.845673697804563,1
"DESC_0231_14a","DESC102a","repc","Vulpes vulpes","Myodes californicus","Myodes californicus","californicus","Myodes","Cricetidae","Rodentia","Mammalia","Chordata","Western red-backed vole","Vole","Cricetids","Rodents","Mammals",100,74336,17300,7076,0.0951894102453724,1
"DESC_0231_14a","DESC102a","repc","Vulpes vulpes","Vireo sp.","Vireo sp.","sp.","Vireo","Vireonidae","Passeriformes","Aves","Chordata","Vireo sp.","","Vireos","Passerines","Birds",99.048,74336,17300,4396,0.0591368919500646,1
"DESC_0231_14b","DESC102b","repa","Vulpes vulpes","Junco hyemalis","Junco hyemalis","hyemalis","Junco","Passerellidae","Passeriformes","Aves","Chordata","Dark-eyed junco","Junco","Sparrows","Passerines","Birds",100,57432,10546,53750,0.935889399637833,1
"DESC_0231_14b","DESC102b","repa","Vulpes vulpes","Peromyscus maniculatus","Peromyscus maniculatus","maniculatus","Peromyscus","Cricetidae","Rodentia","Mammalia","Chordata","Deer mouse","Deer mice","Cricetids","Rodents","Mammals",100,57432,10546,3682,0.0641106003621674,1
"DESC_0231_14b","DESC102b","repb","Vulpes vulpes","Junco hyemalis","Junco hyemalis","hyemalis","Junco","Passerellidae","Passeriformes","Aves","Chordata","Dark-eyed junco","Junco","Sparrows","Passerines","Birds",100,57432,40340,53750,0.935889399637833,1
"DESC_0231_14b","DESC102b","repb","Vulpes vulpes","Peromyscus maniculatus","Peromyscus maniculatus","maniculatus","Peromyscus","Cricetidae","Rodentia","Mammalia","Chordata","Deer mouse","Deer mice","Cricetids","Rodents","Mammals",100,57432,40340,3682,0.0641106003621674,1
"DESC_0231_14b","DESC102b","repc","Vulpes vulpes","Junco hyemalis","Junco hyemalis","hyemalis","Junco","Passerellidae","Passeriformes","Aves","Chordata","Dark-eyed junco","Junco","Sparrows","Passerines","Birds",100,57432,6546,53750,0.935889399637833,1
"DESC_0231_14b","DESC102b","repc","Vulpes vulpes","Peromyscus maniculatus","Peromyscus maniculatus","maniculatus","Peromyscus","Cricetidae","Rodentia","Mammalia","Chordata","Deer mouse","Deer mice","Cricetids","Rodents","Mammals",100,57432,6546,3682,0.0641106003621674,1
"DESC_0282_1","DESC01","repa","Vulpes vulpes","Callospermophilus lateralis","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Chordata","Golden-mantled ground squirrel","Ground squirrel","Squirrels","Rodents","Mammals",100,6302,2542,2990,0.474452554744526,1
"DESC_0282_1","DESC01","repa","Vulpes vulpes","Peromyscus maniculatus","Peromyscus maniculatus","maniculatus","Peromyscus","Cricetidae","Rodentia","Mammalia","Chordata","Deer mouse","Deer mice","Cricetids","Rodents","Mammals",100,6302,2542,3312,0.525547445255474,1
"DESC_0282_1","DESC01","repb","Vulpes vulpes","Callospermophilus lateralis","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Chordata","Golden-mantled ground squirrel","Ground squirrel","Squirrels","Rodents","Mammals",100,6302,2322,2990,0.474452554744526,1
"DESC_0282_1","DESC01","repb","Vulpes vulpes","Peromyscus maniculatus","Peromyscus maniculatus","maniculatus","Peromyscus","Cricetidae","Rodentia","Mammalia","Chordata","Deer mouse","Deer mice","Cricetids","Rodents","Mammals",100,6302,2322,3312,0.525547445255474,1
"DESC_0282_1","DESC01","repc","Vulpes vulpes","Callospermophilus lateralis","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Chordata","Golden-mantled ground squirrel","Ground squirrel","Squirrels","Rodents","Mammals",100,6302,1438,2990,0.474452554744526,1
"DESC_0282_1","DESC01","repc","Vulpes vulpes","Peromyscus maniculatus","Peromyscus maniculatus","maniculatus","Peromyscus","Cricetidae","Rodentia","Mammalia","Chordata","Deer mouse","Deer mice","Cricetids","Rodents","Mammals",100,6302,1438,3312,0.525547445255474,1
"DESC_0282_12","DESC12","repa","Vulpes vulpes","Lepus americanus","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata","Snowshoe hare","Hare","Rabbits and hares","Lagomorphs","Mammals",98.02,130024,27460,119180,0.916600012305421,1
"DESC_0282_12","DESC12","repa","Vulpes vulpes","Peromyscus maniculatus","Peromyscus maniculatus","maniculatus","Peromyscus","Cricetidae","Rodentia","Mammalia","Chordata","Deer mouse","Deer mice","Cricetids","Rodents","Mammals",100,130024,27460,10844,0.0833999876945795,1
"DESC_0282_12","DESC12","repb","Vulpes vulpes","Lepus americanus","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata","Snowshoe hare","Hare","Rabbits and hares","Lagomorphs","Mammals",98.02,130024,44744,119180,0.916600012305421,1
"DESC_0282_12","DESC12","repb","Vulpes vulpes","Peromyscus maniculatus","Peromyscus maniculatus","maniculatus","Peromyscus","Cricetidae","Rodentia","Mammalia","Chordata","Deer mouse","Deer mice","Cricetids","Rodents","Mammals",100,130024,44744,10844,0.0833999876945795,1
"DESC_0282_12","DESC12","repc","Vulpes vulpes","Lepus americanus","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata","Snowshoe hare","Hare","Rabbits and hares","Lagomorphs","Mammals",98.02,130024,57820,119180,0.916600012305421,1
"DESC_0282_12","DESC12","repc","Vulpes vulpes","Peromyscus maniculatus","Peromyscus maniculatus","maniculatus","Peromyscus","Cricetidae","Rodentia","Mammalia","Chordata","Deer mouse","Deer mice","Cricetids","Rodents","Mammals",100,130024,57820,10844,0.0833999876945795,1
