"key","labid","fieldid.x","rep.x","speciessimpleid.x","defecator","final_scientific","species","genus","family","order","class","final_common","genus_group","family_group","order_group","class_group","counts","best_match_pid.mean","phylum","fieldid.y","total_reads","rep.y","rep_reads","speciessimpleid.y","spec_reads","p_reads"
"DESC_0190_16_repcThomomys talpoides","DESC66","DESC_0190_16","repc","Thomomys talpoides","Vulpes vulpes","Thomomys talpoides","talpoides","Thomomys","Geomyidae","Rodentia","Mammalia","Northern pocket gopher","Pocket gopher","Pocket gophers","Rodents","Mammals",0,99.1514285714286,"Chordata","DESC_0190_16",6072,"repc",232,"Thomomys talpoides",5348,0.880764163372859
"DESC_0190_27_repaOdocoileus sp.","DESC77","DESC_0190_27","repa","Odocoileus sp.","Vulpes vulpes","Odocoileus sp.","sp.","Odocoileus","Cervidae","Cetartiodactyla","Mammalia","Deer","Deer","Deer and elk","Even-toed ungulates","Mammals",39296,100,"Chordata","DESC_0190_27",123666,"repa",39470,"Odocoileus sp.",123182,0.996086232270794
"DESC_0190_27_repaThomomys talpoides","DESC77","DESC_0190_27","repa","Thomomys talpoides","Vulpes vulpes","Thomomys talpoides","talpoides","Thomomys","Geomyidae","Rodentia","Mammalia","Northern pocket gopher","Pocket gopher","Pocket gophers","Rodents","Mammals",174,99.01,"Chordata","DESC_0190_27",123666,"repa",39470,"Thomomys talpoides",484,0.00391376772920609
"DESC_0190_27_repbOdocoileus sp.","DESC77","DESC_0190_27","repb","Odocoileus sp.","Vulpes vulpes","Odocoileus sp.","sp.","Odocoileus","Cervidae","Cetartiodactyla","Mammalia","Deer","Deer","Deer and elk","Even-toed ungulates","Mammals",44200,100,"Chordata","DESC_0190_27",123666,"repb",44386,"Odocoileus sp.",123182,0.996086232270794
"DESC_0190_27_repbThomomys talpoides","DESC77","DESC_0190_27","repb","Thomomys talpoides","Vulpes vulpes","Thomomys talpoides","talpoides","Thomomys","Geomyidae","Rodentia","Mammalia","Northern pocket gopher","Pocket gopher","Pocket gophers","Rodents","Mammals",186,99.01,"Chordata","DESC_0190_27",123666,"repb",44386,"Thomomys talpoides",484,0.00391376772920609
"DESC_0190_27_repcOdocoileus sp.","DESC77","DESC_0190_27","repc","Odocoileus sp.","Vulpes vulpes","Odocoileus sp.","sp.","Odocoileus","Cervidae","Cetartiodactyla","Mammalia","Deer","Deer","Deer and elk","Even-toed ungulates","Mammals",39686,100,"Chordata","DESC_0190_27",123666,"repc",39810,"Odocoileus sp.",123182,0.996086232270794
"DESC_0190_27_repcThomomys talpoides","DESC77","DESC_0190_27","repc","Thomomys talpoides","Vulpes vulpes","Thomomys talpoides","talpoides","Thomomys","Geomyidae","Rodentia","Mammalia","Northern pocket gopher","Pocket gopher","Pocket gophers","Rodents","Mammals",124,99.01,"Chordata","DESC_0190_27",123666,"repc",39810,"Thomomys talpoides",484,0.00391376772920609
"DESC_0231_11_repaOdocoileus sp.","DESC99","DESC_0231_11","repa","Odocoileus sp.","Vulpes vulpes","Odocoileus sp.","sp.","Odocoileus","Cervidae","Cetartiodactyla","Mammalia","Deer","Deer","Deer and elk","Even-toed ungulates","Mammals",319,100,"Chordata","DESC_0231_11",7538,"repa",3025,"Odocoileus sp.",784,0.1040063677368
"DESC_0231_11_repaPeromyscus maniculatus","DESC99","DESC_0231_11","repa","Peromyscus maniculatus","Vulpes vulpes","Peromyscus maniculatus","maniculatus","Peromyscus","Cricetidae","Rodentia","Mammalia","Deer mouse","Deer mice","Cricetids","Rodents","Mammals",1012,100,"Chordata","DESC_0231_11",7538,"repa",3025,"Peromyscus maniculatus",2628,0.348633589811621
"DESC_0231_11_repaThomomys talpoides","DESC99","DESC_0231_11","repa","Thomomys talpoides","Vulpes vulpes","Thomomys talpoides","talpoides","Thomomys","Geomyidae","Rodentia","Mammalia","Northern pocket gopher","Pocket gopher","Pocket gophers","Rodents","Mammals",1694,99.01,"Chordata","DESC_0231_11",7538,"repa",3025,"Thomomys talpoides",4126,0.547360042451579
"DESC_0231_11_repbOdocoileus sp.","DESC99","DESC_0231_11","repb","Odocoileus sp.","Vulpes vulpes","Odocoileus sp.","sp.","Odocoileus","Cervidae","Cetartiodactyla","Mammalia","Deer","Deer","Deer and elk","Even-toed ungulates","Mammals",318,100,"Chordata","DESC_0231_11",7538,"repb",2996,"Odocoileus sp.",784,0.1040063677368
"DESC_0231_11_repbPeromyscus maniculatus","DESC99","DESC_0231_11","repb","Peromyscus maniculatus","Vulpes vulpes","Peromyscus maniculatus","maniculatus","Peromyscus","Cricetidae","Rodentia","Mammalia","Deer mouse","Deer mice","Cricetids","Rodents","Mammals",1076,100,"Chordata","DESC_0231_11",7538,"repb",2996,"Peromyscus maniculatus",2628,0.348633589811621
"DESC_0231_11_repbThomomys talpoides","DESC99","DESC_0231_11","repb","Thomomys talpoides","Vulpes vulpes","Thomomys talpoides","talpoides","Thomomys","Geomyidae","Rodentia","Mammalia","Northern pocket gopher","Pocket gopher","Pocket gophers","Rodents","Mammals",1602,99.01,"Chordata","DESC_0231_11",7538,"repb",2996,"Thomomys talpoides",4126,0.547360042451579
"DESC_0231_11_repcOdocoileus sp.","DESC99","DESC_0231_11","repc","Odocoileus sp.","Vulpes vulpes","Odocoileus sp.","sp.","Odocoileus","Cervidae","Cetartiodactyla","Mammalia","Deer","Deer","Deer and elk","Even-toed ungulates","Mammals",147,100,"Chordata","DESC_0231_11",7538,"repc",1517,"Odocoileus sp.",784,0.1040063677368
"DESC_0231_11_repcPeromyscus maniculatus","DESC99","DESC_0231_11","repc","Peromyscus maniculatus","Vulpes vulpes","Peromyscus maniculatus","maniculatus","Peromyscus","Cricetidae","Rodentia","Mammalia","Deer mouse","Deer mice","Cricetids","Rodents","Mammals",540,100,"Chordata","DESC_0231_11",7538,"repc",1517,"Peromyscus maniculatus",2628,0.348633589811621
"DESC_0231_11_repcThomomys talpoides","DESC99","DESC_0231_11","repc","Thomomys talpoides","Vulpes vulpes","Thomomys talpoides","talpoides","Thomomys","Geomyidae","Rodentia","Mammalia","Northern pocket gopher","Pocket gopher","Pocket gophers","Rodents","Mammals",830,99.01,"Chordata","DESC_0231_11",7538,"repc",1517,"Thomomys talpoides",4126,0.547360042451579
"DESC_0231_13_repaChordeiles minor","DESC101","DESC_0231_13","repa","Chordeiles minor","Vulpes vulpes","Chordeiles minor","minor","Chordeiles","Caprimulgidae","Caprimulgiformes","Aves","Common nighthawk","Nighthawk","Nighthawks","Nighthawks","Birds",14200,100,"Chordata","DESC_0231_13",52024,"repa",14200,"Chordeiles minor",52024,1
"DESC_0231_13_repbChordeiles minor","DESC101","DESC_0231_13","repb","Chordeiles minor","Vulpes vulpes","Chordeiles minor","minor","Chordeiles","Caprimulgidae","Caprimulgiformes","Aves","Common nighthawk","Nighthawk","Nighthawks","Nighthawks","Birds",34212,100,"Chordata","DESC_0231_13",52024,"repb",34212,"Chordeiles minor",52024,1
"DESC_0231_13_repcChordeiles minor","DESC101","DESC_0231_13","repc","Chordeiles minor","Vulpes vulpes","Chordeiles minor","minor","Chordeiles","Caprimulgidae","Caprimulgiformes","Aves","Common nighthawk","Nighthawk","Nighthawks","Nighthawks","Birds",3612,100,"Chordata","DESC_0231_13",52024,"repc",3612,"Chordeiles minor",52024,1
"DESC_0231_14a_repaMarmota flaviventris","DESC102a","DESC_0231_14a","repa","Marmota flaviventris","Vulpes vulpes","Marmota flaviventris","flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Yellow-bellied marmot","Marmot","Squirrels","Rodents","Mammals",18644,99.495,"Chordata","DESC_0231_14a",74336,"repa",21994,"Marmota flaviventris",62864,0.845673697804563
"DESC_0231_14a_repaMyodes californicus","DESC102a","DESC_0231_14a","repa","Myodes californicus","Vulpes vulpes","Myodes californicus","californicus","Myodes","Cricetidae","Rodentia","Mammalia","Western red-backed vole","Vole","Cricetids","Rodents","Mammals",2362,100,"Chordata","DESC_0231_14a",74336,"repa",21994,"Myodes californicus",7076,0.0951894102453724
"DESC_0231_14a_repaVireo sp.","DESC102a","DESC_0231_14a","repa","Vireo sp.","Vulpes vulpes","Vireo sp.","sp.","Vireo","Vireonidae","Passeriformes","Aves","Vireo sp.","","Vireos","Passerines","Birds",988,99.048,"Chordata","DESC_0231_14a",74336,"repa",21994,"Vireo sp.",4396,0.0591368919500646
"DESC_0231_14a_repbMarmota flaviventris","DESC102a","DESC_0231_14a","repb","Marmota flaviventris","Vulpes vulpes","Marmota flaviventris","flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Yellow-bellied marmot","Marmot","Squirrels","Rodents","Mammals",29338,99.495,"Chordata","DESC_0231_14a",74336,"repb",35042,"Marmota flaviventris",62864,0.845673697804563
"DESC_0231_14a_repbMyodes californicus","DESC102a","DESC_0231_14a","repb","Myodes californicus","Vulpes vulpes","Myodes californicus","californicus","Myodes","Cricetidae","Rodentia","Mammalia","Western red-backed vole","Vole","Cricetids","Rodents","Mammals",3094,100,"Chordata","DESC_0231_14a",74336,"repb",35042,"Myodes californicus",7076,0.0951894102453724
"DESC_0231_14a_repbVireo sp.","DESC102a","DESC_0231_14a","repb","Vireo sp.","Vulpes vulpes","Vireo sp.","sp.","Vireo","Vireonidae","Passeriformes","Aves","Vireo sp.","","Vireos","Passerines","Birds",2610,99.048,"Chordata","DESC_0231_14a",74336,"repb",35042,"Vireo sp.",4396,0.0591368919500646
"DESC_0231_14a_repcMarmota flaviventris","DESC102a","DESC_0231_14a","repc","Marmota flaviventris","Vulpes vulpes","Marmota flaviventris","flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Yellow-bellied marmot","Marmot","Squirrels","Rodents","Mammals",14882,99.495,"Chordata","DESC_0231_14a",74336,"repc",17300,"Marmota flaviventris",62864,0.845673697804563
"DESC_0231_14a_repcMyodes californicus","DESC102a","DESC_0231_14a","repc","Myodes californicus","Vulpes vulpes","Myodes californicus","californicus","Myodes","Cricetidae","Rodentia","Mammalia","Western red-backed vole","Vole","Cricetids","Rodents","Mammals",1620,100,"Chordata","DESC_0231_14a",74336,"repc",17300,"Myodes californicus",7076,0.0951894102453724
"DESC_0231_14a_repcVireo sp.","DESC102a","DESC_0231_14a","repc","Vireo sp.","Vulpes vulpes","Vireo sp.","sp.","Vireo","Vireonidae","Passeriformes","Aves","Vireo sp.","","Vireos","Passerines","Birds",798,99.048,"Chordata","DESC_0231_14a",74336,"repc",17300,"Vireo sp.",4396,0.0591368919500646
"DESC_0231_14b_repaJunco hyemalis","DESC102b","DESC_0231_14b","repa","Junco hyemalis","Vulpes vulpes","Junco hyemalis","hyemalis","Junco","Passerellidae","Passeriformes","Aves","Dark-eyed junco","Junco","Sparrows","Passerines","Birds",9542,100,"Chordata","DESC_0231_14b",57432,"repa",10546,"Junco hyemalis",53750,0.935889399637833
"DESC_0231_14b_repaPeromyscus maniculatus","DESC102b","DESC_0231_14b","repa","Peromyscus maniculatus","Vulpes vulpes","Peromyscus maniculatus","maniculatus","Peromyscus","Cricetidae","Rodentia","Mammalia","Deer mouse","Deer mice","Cricetids","Rodents","Mammals",1004,100,"Chordata","DESC_0231_14b",57432,"repa",10546,"Peromyscus maniculatus",3682,0.0641106003621674
"DESC_0231_14b_repbJunco hyemalis","DESC102b","DESC_0231_14b","repb","Junco hyemalis","Vulpes vulpes","Junco hyemalis","hyemalis","Junco","Passerellidae","Passeriformes","Aves","Dark-eyed junco","Junco","Sparrows","Passerines","Birds",38580,100,"Chordata","DESC_0231_14b",57432,"repb",40340,"Junco hyemalis",53750,0.935889399637833
"DESC_0231_14b_repbPeromyscus maniculatus","DESC102b","DESC_0231_14b","repb","Peromyscus maniculatus","Vulpes vulpes","Peromyscus maniculatus","maniculatus","Peromyscus","Cricetidae","Rodentia","Mammalia","Deer mouse","Deer mice","Cricetids","Rodents","Mammals",1760,100,"Chordata","DESC_0231_14b",57432,"repb",40340,"Peromyscus maniculatus",3682,0.0641106003621674
