"key","labid","fieldid.x","rep.x","speciessimpleid.x","defecator","final_scientific","species","genus","family","order","class","final_common","genus_group","family_group","order_group","class_group","counts","best_match_pid.mean","phylum","fieldid.y","total_reads","rep.y","rep_reads","speciessimpleid.y","spec_reads","p_reads"
"DESC_0459_9_repbScapanus sp.","DESC149","DESC_0459_9","repb","Scapanus sp.","Vulpes vulpes","Scapanus sp.","sp.","Scapanus","Talpidae","Euliptophyla","Mammalia","Mole","Mole","Moles","Moles and shrews","Mammals",1062,100,"Chordata","DESC_0459_9",14150,"repb",2740,"Scapanus sp.",4978,0.351802120141343
"DESC_0459_9_repbSorex sp.","DESC149","DESC_0459_9","repb","Sorex sp.","Vulpes vulpes","Sorex sp.","sp.","Sorex","Soricidae","Soricimorpha","Mammalia","Shrew","Shrew","Shrews","Moles and shrews","Mammals",1042,100,"Chordata","DESC_0459_9",14150,"repb",2740,"Sorex sp.",4908,0.346855123674912
"DESC_0459_9_repcCallospermophilus lateralis","DESC149","DESC_0459_9","repc","Callospermophilus lateralis","Vulpes vulpes","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Golden-mantled ground squirrel","Ground squirrel","Squirrels","Rodents","Mammals",430,100,"Chordata","DESC_0459_9",14150,"repc",7802,"Callospermophilus lateralis",634,0.0448056537102473
"DESC_0459_9_repcMyodes californicus","DESC149","DESC_0459_9","repc","Myodes californicus","Vulpes vulpes","Myodes californicus","californicus","Myodes","Cricetidae","Rodentia","Mammalia","Western red-backed vole","Vole","Cricetids","Rodents","Mammals",2018,100,"Chordata","DESC_0459_9",14150,"repc",7802,"Myodes californicus",3630,0.256537102473498
"DESC_0459_9_repcScapanus sp.","DESC149","DESC_0459_9","repc","Scapanus sp.","Vulpes vulpes","Scapanus sp.","sp.","Scapanus","Talpidae","Euliptophyla","Mammalia","Mole","Mole","Moles","Moles and shrews","Mammals",2580,100,"Chordata","DESC_0459_9",14150,"repc",7802,"Scapanus sp.",4978,0.351802120141343
"DESC_0459_9_repcSorex sp.","DESC149","DESC_0459_9","repc","Sorex sp.","Vulpes vulpes","Sorex sp.","sp.","Sorex","Soricidae","Soricimorpha","Mammalia","Shrew","Shrew","Shrews","Moles and shrews","Mammals",2774,100,"Chordata","DESC_0459_9",14150,"repc",7802,"Sorex sp.",4908,0.346855123674912
"DESC0282_19_repaDendragapus fuliginosus","DESC20","DESC0282_19","repa","Dendragapus fuliginosus","Vulpes vulpes","Dendragapus fuliginosus","fuliginosus","Dendragapus","Phaisianidae","Galliformes","Aves","Sooty grouse","Grouse","Gamebirds","Gamebirds","Birds",8900,100,"Chordata","DESC0282_19",97411,"repa",32568,"Dendragapus fuliginosus",26094,0.267875291291538
"DESC0282_19_repaMarmota flaviventris","DESC20","DESC0282_19","repa","Marmota flaviventris","Vulpes vulpes","Marmota flaviventris","flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Yellow-bellied marmot","Marmot","Squirrels","Rodents","Mammals",23450,99.495,"Chordata","DESC0282_19",97411,"repa",32568,"Marmota flaviventris",70674,0.725523811479196
"DESC0282_19_repaScapanus sp.","DESC20","DESC0282_19","repa","Scapanus sp.","Vulpes vulpes","Scapanus sp.","sp.","Scapanus","Talpidae","Euliptophyla","Mammalia","Mole","Mole","Moles","Moles and shrews","Mammals",218,100,"Chordata","DESC0282_19",97411,"repa",32568,"Scapanus sp.",643,0.00660089722926569
"DESC0282_19_repbDendragapus fuliginosus","DESC20","DESC0282_19","repb","Dendragapus fuliginosus","Vulpes vulpes","Dendragapus fuliginosus","fuliginosus","Dendragapus","Phaisianidae","Galliformes","Aves","Sooty grouse","Grouse","Gamebirds","Gamebirds","Birds",11970,100,"Chordata","DESC0282_19",97411,"repb",44678,"Dendragapus fuliginosus",26094,0.267875291291538
"DESC0282_19_repbMarmota flaviventris","DESC20","DESC0282_19","repb","Marmota flaviventris","Vulpes vulpes","Marmota flaviventris","flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Yellow-bellied marmot","Marmot","Squirrels","Rodents","Mammals",32416,99.495,"Chordata","DESC0282_19",97411,"repb",44678,"Marmota flaviventris",70674,0.725523811479196
"DESC0282_19_repbScapanus sp.","DESC20","DESC0282_19","repb","Scapanus sp.","Vulpes vulpes","Scapanus sp.","sp.","Scapanus","Talpidae","Euliptophyla","Mammalia","Mole","Mole","Moles","Moles and shrews","Mammals",292,100,"Chordata","DESC0282_19",97411,"repb",44678,"Scapanus sp.",643,0.00660089722926569
"DESC0282_19_repcDendragapus fuliginosus","DESC20","DESC0282_19","repc","Dendragapus fuliginosus","Vulpes vulpes","Dendragapus fuliginosus","fuliginosus","Dendragapus","Phaisianidae","Galliformes","Aves","Sooty grouse","Grouse","Gamebirds","Gamebirds","Birds",5224,100,"Chordata","DESC0282_19",97411,"repc",20165,"Dendragapus fuliginosus",26094,0.267875291291538
"DESC0282_19_repcMarmota flaviventris","DESC20","DESC0282_19","repc","Marmota flaviventris","Vulpes vulpes","Marmota flaviventris","flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Yellow-bellied marmot","Marmot","Squirrels","Rodents","Mammals",14808,99.495,"Chordata","DESC0282_19",97411,"repc",20165,"Marmota flaviventris",70674,0.725523811479196
"DESC0282_19_repcScapanus sp.","DESC20","DESC0282_19","repc","Scapanus sp.","Vulpes vulpes","Scapanus sp.","sp.","Scapanus","Talpidae","Euliptophyla","Mammalia","Mole","Mole","Moles","Moles and shrews","Mammals",133,100,"Chordata","DESC0282_19",97411,"repc",20165,"Scapanus sp.",643,0.00660089722926569
"KLAM_0001_07_repaSalvelinus fontinalis","KLAM_0001_07","KLAM_0001_07","repa","Salvelinus fontinalis","Vulpes vulpes","Salvelinus fontinalis","fontinalis","Salvelinus","Salmonidae","Salmoniformes","Actinopterygii","Trout","Trout","Salmon and trout","Salmon and trout","Fishes",49626,100,"Chordata","KLAM_0001_07",138748,"repa",49626,"Salvelinus fontinalis",138748,1
"KLAM_0001_07_repbSalvelinus fontinalis","KLAM_0001_07","KLAM_0001_07","repb","Salvelinus fontinalis","Vulpes vulpes","Salvelinus fontinalis","fontinalis","Salvelinus","Salmonidae","Salmoniformes","Actinopterygii","Trout","Trout","Salmon and trout","Salmon and trout","Fishes",26088,100,"Chordata","KLAM_0001_07",138748,"repb",26088,"Salvelinus fontinalis",138748,1
"KLAM_0001_07_repcSalvelinus fontinalis","KLAM_0001_07","KLAM_0001_07","repc","Salvelinus fontinalis","Vulpes vulpes","Salvelinus fontinalis","fontinalis","Salvelinus","Salmonidae","Salmoniformes","Actinopterygii","Trout","Trout","Salmon and trout","Salmon and trout","Fishes",63034,100,"Chordata","KLAM_0001_07",138748,"repc",63034,"Salvelinus fontinalis",138748,1
"LINN_0455_15_repaCallospermophilus lateralis","LINN15","LINN_0455_15","repa","Callospermophilus lateralis","Vulpes vulpes","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Golden-mantled ground squirrel","Ground squirrel","Squirrels","Rodents","Mammals",38600,99.67,"Chordata","LINN_0455_15",87716,"repa",38600,"Callospermophilus lateralis",87716,1
"LINN_0455_15_repbCallospermophilus lateralis","LINN15","LINN_0455_15","repb","Callospermophilus lateralis","Vulpes vulpes","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Golden-mantled ground squirrel","Ground squirrel","Squirrels","Rodents","Mammals",0,99.67,"Chordata","LINN_0455_15",87716,"repb",0,"Callospermophilus lateralis",87716,1
"LINN_0455_15_repcCallospermophilus lateralis","LINN15","LINN_0455_15","repc","Callospermophilus lateralis","Vulpes vulpes","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Golden-mantled ground squirrel","Ground squirrel","Squirrels","Rodents","Mammals",49116,99.67,"Chordata","LINN_0455_15",87716,"repc",49116,"Callospermophilus lateralis",87716,1
