"key","labid","fieldid.x","rep.x","speciessimpleid.x","defecator","final_scientific","species","genus","family","order","class","final_common","genus_group","family_group","order_group","class_group","counts","best_match_pid.mean","phylum","fieldid.y","total_reads","rep.y","rep_reads","speciessimpleid.y","spec_reads","p_reads"
"DESC_0282_11_repaCallospermophilus lateralis","DESC11","DESC_0282_11","repa","Callospermophilus lateralis","Canis latrans","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Golden-mantled ground squirrel","Ground squirrel","Squirrels","Rodents","Mammals",7524,99.505,"Chordata","DESC_0282_11",51494,"repa",17504,"Callospermophilus lateralis",27278,0.529731619217773
"DESC_0282_11_repaTamias sp","DESC11","DESC_0282_11","repa","Tamias sp","Canis latrans","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chipmunk","Chipmunk","Squirrels","Rodents","Mammals",9980,99.67,"Chordata","DESC_0282_11",51494,"repa",17504,"Tamias sp",24216,0.470268380782227
"DESC_0282_11_repbCallospermophilus lateralis","DESC11","DESC_0282_11","repb","Callospermophilus lateralis","Canis latrans","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Golden-mantled ground squirrel","Ground squirrel","Squirrels","Rodents","Mammals",10304,99.505,"Chordata","DESC_0282_11",51494,"repb",10304,"Callospermophilus lateralis",27278,0.529731619217773
"DESC_0282_11_repbTamias sp","DESC11","DESC_0282_11","repb","Tamias sp","Canis latrans","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chipmunk","Chipmunk","Squirrels","Rodents","Mammals",0,99.67,"Chordata","DESC_0282_11",51494,"repb",10304,"Tamias sp",24216,0.470268380782227
"DESC_0282_11_repcCallospermophilus lateralis","DESC11","DESC_0282_11","repc","Callospermophilus lateralis","Canis latrans","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Golden-mantled ground squirrel","Ground squirrel","Squirrels","Rodents","Mammals",9450,99.505,"Chordata","DESC_0282_11",51494,"repc",23686,"Callospermophilus lateralis",27278,0.529731619217773
"DESC_0282_11_repcTamias sp","DESC11","DESC_0282_11","repc","Tamias sp","Canis latrans","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chipmunk","Chipmunk","Squirrels","Rodents","Mammals",14236,99.67,"Chordata","DESC_0282_11",51494,"repc",23686,"Tamias sp",24216,0.470268380782227
"DESC_0282_14_repaMarmota flaviventris","DESC14","DESC_0282_14","repa","Marmota flaviventris","Canis latrans","Marmota flaviventris","flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Yellow-bellied marmot","Marmot","Squirrels","Rodents","Mammals",369,100,"Chordata","DESC_0282_14",11939,"repa",3195,"Marmota flaviventris",943,0.0789848396013066
"DESC_0282_14_repaPhenacomys intermedius","DESC14","DESC_0282_14","repa","Phenacomys intermedius","Canis latrans","Phenacomys intermedius","intermedius","Phenacomys","Cricetidae","Rodentia","Mammalia","Western heather vole","Vole","Cricetids","Rodents","Mammals",680,99.02,"Chordata","DESC_0282_14",11939,"repa",3195,"Phenacomys intermedius",2234,0.187117849066086
"DESC_0282_14_repaTamias sp","DESC14","DESC_0282_14","repa","Tamias sp","Canis latrans","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chipmunk","Chipmunk","Squirrels","Rodents","Mammals",2146,99.67,"Chordata","DESC_0282_14",11939,"repa",3195,"Tamias sp",8762,0.733897311332607
"DESC_0282_14_repbMarmota flaviventris","DESC14","DESC_0282_14","repb","Marmota flaviventris","Canis latrans","Marmota flaviventris","flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Yellow-bellied marmot","Marmot","Squirrels","Rodents","Mammals",0,100,"Chordata","DESC_0282_14",11939,"repb",4323,"Marmota flaviventris",943,0.0789848396013066
