"fieldid.x","labid","rep.x","defecator","speciessimpleid.x","final_scientific","species","genus","family","order","class","phylum","final_common","genus_group","family_group","order_group","class_group","best_match_pid.mean","total_reads","rep_reads","spec_reads","p_reads","replicates"
"DESC_0282_24","DESC25","repa","Canis latrans","Accipiter sp.","Accipiter sp.","sp.","Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Accipiter","Accipiter","Accipiters","Raptors","Birds",100,531762,208836,80496,0.151375991515001,1
"DESC_0282_24","DESC25","repa","Canis latrans","Tamias sp","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chordata","Chipmunk","Chipmunk","Squirrels","Rodents","Mammals",100,531762,208836,451266,0.848624008484999,1
"DESC_0282_24","DESC25","repb","Canis latrans","Accipiter sp.","Accipiter sp.","sp.","Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Accipiter","Accipiter","Accipiters","Raptors","Birds",100,531762,67152,80496,0.151375991515001,1
"DESC_0282_24","DESC25","repb","Canis latrans","Tamias sp","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chordata","Chipmunk","Chipmunk","Squirrels","Rodents","Mammals",100,531762,67152,451266,0.848624008484999,1
"DESC_0282_24","DESC25","repc","Canis latrans","Accipiter sp.","Accipiter sp.","sp.","Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Accipiter","Accipiter","Accipiters","Raptors","Birds",100,531762,255774,80496,0.151375991515001,1
"DESC_0282_24","DESC25","repc","Canis latrans","Tamias sp","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chordata","Chipmunk","Chipmunk","Squirrels","Rodents","Mammals",100,531762,255774,451266,0.848624008484999,1
"DESC_0282_26","DESC27","repa","Canis latrans","Callospermophilus lateralis","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Chordata","Golden-mantled ground squirrel","Ground squirrel","Squirrels","Rodents","Mammals",100,21842,6686,10982,0.50279278454354,1
"DESC_0282_26","DESC27","repa","Canis latrans","Tamias sp","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chordata","Chipmunk","Chipmunk","Squirrels","Rodents","Mammals",99.505,21842,6686,10860,0.49720721545646,1
"DESC_0282_26","DESC27","repb","Canis latrans","Callospermophilus lateralis","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Chordata","Golden-mantled ground squirrel","Ground squirrel","Squirrels","Rodents","Mammals",100,21842,8210,10982,0.50279278454354,1
"DESC_0282_26","DESC27","repb","Canis latrans","Tamias sp","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chordata","Chipmunk","Chipmunk","Squirrels","Rodents","Mammals",99.505,21842,8210,10860,0.49720721545646,1
"DESC_0282_26","DESC27","repc","Canis latrans","Callospermophilus lateralis","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Chordata","Golden-mantled ground squirrel","Ground squirrel","Squirrels","Rodents","Mammals",100,21842,6946,10982,0.50279278454354,1
"DESC_0282_26","DESC27","repc","Canis latrans","Tamias sp","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chordata","Chipmunk","Chipmunk","Squirrels","Rodents","Mammals",99.505,21842,6946,10860,0.49720721545646,1
"DESC_0282_28","DESC29","repa","Canis latrans","Callospermophilus lateralis","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Chordata","Golden-mantled ground squirrel","Ground squirrel","Squirrels","Rodents","Mammals",100,18002,5954,8978,0.498722364181758,1
"DESC_0282_28","DESC29","repa","Canis latrans","Tamias sp","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chordata","Chipmunk","Chipmunk","Squirrels","Rodents","Mammals",99.505,18002,5954,9024,0.501277635818242,1
"DESC_0282_28","DESC29","repb","Canis latrans","Callospermophilus lateralis","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Chordata","Golden-mantled ground squirrel","Ground squirrel","Squirrels","Rodents","Mammals",100,18002,7600,8978,0.498722364181758,1
"DESC_0282_28","DESC29","repb","Canis latrans","Tamias sp","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chordata","Chipmunk","Chipmunk","Squirrels","Rodents","Mammals",99.505,18002,7600,9024,0.501277635818242,1
"DESC_0282_28","DESC29","repc","Canis latrans","Callospermophilus lateralis","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Chordata","Golden-mantled ground squirrel","Ground squirrel","Squirrels","Rodents","Mammals",100,18002,4448,8978,0.498722364181758,1
"DESC_0282_28","DESC29","repc","Canis latrans","Tamias sp","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chordata","Chipmunk","Chipmunk","Squirrels","Rodents","Mammals",99.505,18002,4448,9024,0.501277635818242,1
"DESC_0282_43","DESC45","repa","Canis latrans","Lepus americanus","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata","Snowshoe hare","Hare","Rabbits and hares","Lagomorphs","Mammals",98.02,9708,1594,9708,1,1
"DESC_0282_43","DESC45","repb","Canis latrans","Lepus americanus","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata","Snowshoe hare","Hare","Rabbits and hares","Lagomorphs","Mammals",98.02,9708,4184,9708,1,1
"DESC_0282_43","DESC45","repc","Canis latrans","Lepus americanus","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata","Snowshoe hare","Hare","Rabbits and hares","Lagomorphs","Mammals",98.02,9708,3930,9708,1,1
"DESC_0282_45","DESC47","repa","Canis latrans","Lepus americanus","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata","Snowshoe hare","Hare","Rabbits and hares","Lagomorphs","Mammals",98.02,12552,3868,12552,1,1
"DESC_0282_45","DESC47","repb","Canis latrans","Lepus americanus","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata","Snowshoe hare","Hare","Rabbits and hares","Lagomorphs","Mammals",98.02,12552,4634,12552,1,1
"DESC_0282_45","DESC47","repc","Canis latrans","Lepus americanus","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata","Snowshoe hare","Hare","Rabbits and hares","Lagomorphs","Mammals",98.02,12552,4050,12552,1,1
"DESC_0282_46","DESC48","repa","Canis latrans","Lepus americanus","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata","Snowshoe hare","Hare","Rabbits and hares","Lagomorphs","Mammals",98.02,1645,470,1310,0.796352583586626,1
"DESC_0282_46","DESC48","repa","Canis latrans","Tamias sp","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chordata","Chipmunk","Chipmunk","Squirrels","Rodents","Mammals",100,1645,470,335,0.203647416413374,1
