"fieldid.x","defecator","speciessimpleid.x","final_scientific","species","genus","family","order","class","phylum","reps","speciesreads","totalreads","rra","pidmatch","lineage"
"JEFF_0424_13","Canis latrans","Tamias sp","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chordata",3,3914,21300,0.183755868544601,99.505,"Chordata,Mammalia,Rodentia,Sciuridae,Tamias,sp."
"JEFF_0424_13","Canis latrans","Tamiasciurus douglasii","Tamiasciurus douglasii","douglasii","Tamiasciurus","Sciuridae","Rodentia","Mammalia","Chordata",3,12156,21300,0.570704225352113,99.505,"Chordata,Mammalia,Rodentia,Sciuridae,Tamiasciurus,douglasii"
"JEFF_0424_6","Canis latrans","Callospermophilus lateralis","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Chordata",3,5848,6173,0.94735136886441,100,"Chordata,Mammalia,Rodentia,Sciuridae,Callospermophilus,lateralis"
"JEFF_0424_6","Canis latrans","Microtus sp.","Microtus sp.","sp.","Microtus","Cricetidae","Rodentia","Mammalia","Chordata",3,325,6173,0.0526486311355905,100,"Chordata,Mammalia,Rodentia,Cricetidae,Microtus,sp."
"JEFF_0424_7","Canis latrans","Callospermophilus lateralis","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Chordata",3,51052,51052,1,100,"Chordata,Mammalia,Rodentia,Sciuridae,Callospermophilus,lateralis"
"LINN_0455_1","Canis latrans","Odocoileus sp.","Odocoileus sp.","sp.","Odocoileus","Cervidae","Cetartiodactyla","Mammalia","Chordata",2,7250,7250,1,99.51,"Chordata,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,sp."
"LINN_0455_14","Canis latrans","Lepus americanus","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata",3,35940,44003,0.816762493466355,98.02,"Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,americanus"
"LINN_0455_14","Canis latrans","Odocoileus sp.","Odocoileus sp.","sp.","Odocoileus","Cervidae","Cetartiodactyla","Mammalia","Chordata",3,870,44003,0.0197713792241438,100,"Chordata,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,sp."
"LINN_0455_14","Canis latrans","Peromyscus maniculatus","Peromyscus maniculatus","maniculatus","Peromyscus","Cricetidae","Rodentia","Mammalia","Chordata",3,691,44003,0.0157034747630843,100,"Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,maniculatus"
"LINN_0455_14","Canis latrans","Scapanus sp.","Scapanus sp.","sp.","Scapanus","Talpidae","Euliptophyla","Mammalia","Chordata",3,6502,44003,0.147762652546417,100,"Chordata,Mammalia,Euliptophyla,Talpidae,Scapanus,sp."
"LINN_0455_19","Canis latrans","Callospermophilus lateralis","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Chordata",3,9105,83067,0.109610314565351,99.67,"Chordata,Mammalia,Rodentia,Sciuridae,Callospermophilus,lateralis"
"LINN_0455_19","Canis latrans","Odocoileus sp.","Odocoileus sp.","sp.","Odocoileus","Cervidae","Cetartiodactyla","Mammalia","Chordata",3,72996,83067,0.878760518617501,100,"Chordata,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,sp."
"LINN_0455_2","Canis latrans","Callospermophilus lateralis","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Chordata",3,108038,108038,1,100,"Chordata,Mammalia,Rodentia,Sciuridae,Callospermophilus,lateralis"
"LINN_0455_20","Canis latrans","Lepus americanus","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata",3,57598,73788,0.780587629424839,98.02,"Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,americanus"
"LINN_0455_20","Canis latrans","Tamias sp","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chordata",3,16190,73788,0.219412370575161,99.505,"Chordata,Mammalia,Rodentia,Sciuridae,Tamias,sp."
"LINN_0455_21","Canis latrans","Callospermophilus lateralis","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Chordata",3,35955,70445,0.510398182979629,99.67,"Chordata,Mammalia,Rodentia,Sciuridae,Callospermophilus,lateralis"
"LINN_0455_21","Canis latrans","Tamias sp","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chordata",3,34490,70445,0.48960181702037,99.505,"Chordata,Mammalia,Rodentia,Sciuridae,Tamias,sp."
"LINN_0455_8","Canis latrans","Callospermophilus lateralis","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Chordata",3,44342,44342,1,100,"Chordata,Mammalia,Rodentia,Sciuridae,Callospermophilus,lateralis"
